router_id,hour,avg_speed_mbps,latency_ms,packet_loss_pct,disconnects,connected_devices,signal_dbm
R-1000,2026-08-06T00:00,74.4,12,0.9,0,9,-41
R-1000,2026-08-06T01:00,30.7,45,0.9,1,6,-55
R-1000,2026-08-06T02:00,72.6,21,0.9,0,7,-52
R-1000,2026-08-06T03:00,68.0,36,0.8,0,10,-57
R-1000,2026-08-06T04:00,68.3,16,0.4,0,17,-55
R-1000,2026-08-06T05:00,36.0,39,0.3,0,9,-62
R-1000,2026-08-06T06:00,61.3,35,0.3,0,10,-51
R-1000,2026-08-06T07:00,60.3,35,0.7,1,2,-59
R-1000,2026-08-06T08:00,73.2,26,0.2,1,3,-59
R-1000,2026-08-06T09:00,57.8,32,0.7,1,15,-43
R-1000,2026-08-06T10:00,79.1,17,0.4,0,10,-61
R-1000,2026-08-06T11:00,64.0,10,0.5,0,13,-49
R-1000,2026-08-06T12:00,28.8,31,0.6,0,11,-46
R-1000,2026-08-06T13:00,42.0,36,0.3,1,6,-56
R-1000,2026-08-06T14:00,48.1,34,0.7,0,11,-50
R-1000,2026-08-06T15:00,55.1,10,0.3,0,15,-44
R-1000,2026-08-06T16:00,58.4,30,0.5,1,8,-46
R-1000,2026-08-06T17:00,51.0,20,0.7,1,18,-41
R-1000,2026-08-06T18:00,59.8,31,0.1,0,11,-55
R-1000,2026-08-06T19:00,69.4,19,0.0,0,17,-43
R-1000,2026-08-06T20:00,71.7,14,0.5,0,14,-47
R-1000,2026-08-06T21:00,47.0,19,0.7,0,5,-49
R-1000,2026-08-06T22:00,37.0,43,0.5,0,5,-48
R-1000,2026-08-06T23:00,32.3,39,0.7,1,16,-43
R-1001,2026-08-06T00:00,69.8,42,0.4,1,7,-47
R-1001,2026-08-06T01:00,49.8,25,0.8,1,18,-47
R-1001,2026-08-06T02:00,59.5,27,0.4,1,9,-54
R-1001,2026-08-06T03:00,43.5,44,0.1,0,9,-50
R-1001,2026-08-06T04:00,63.2,23,0.1,1,12,-45
R-1001,2026-08-06T05:00,50.6,13,0.2,1,14,-44
R-1001,2026-08-06T06:00,77.0,11,0.9,1,17,-62
R-1001,2026-08-06T07:00,76.9,29,0.8,1,9,-47
R-1001,2026-08-06T08:00,37.1,37,0.5,1,12,-41
R-1001,2026-08-06T09:00,62.4,35,0.7,1,6,-43
R-1001,2026-08-06T10:00,54.4,35,0.6,0,4,-42
R-1001,2026-08-06T11:00,48.6,39,0.2,1,14,-52
R-1001,2026-08-06T12:00,36.6,30,0.3,1,10,-49
R-1001,2026-08-06T13:00,38.9,15,0.5,0,13,-55
R-1001,2026-08-06T14:00,60.8,12,0.8,0,8,-62
R-1001,2026-08-06T15:00,59.2,25,0.1,0,8,-48
R-1001,2026-08-06T16:00,63.5,33,0.2,0,7,-53
R-1001,2026-08-06T17:00,30.9,11,0.9,1,14,-40
R-1001,2026-08-06T18:00,35.9,25,0.1,1,5,-44
R-1001,2026-08-06T19:00,68.0,32,0.5,1,4,-46
R-1001,2026-08-06T20:00,60.6,10,0.8,1,5,-49
R-1001,2026-08-06T21:00,77.8,39,0.7,1,7,-46
R-1001,2026-08-06T22:00,78.1,27,0.6,1,16,-49
R-1001,2026-08-06T23:00,70.4,27,0.3,0,4,-54
R-1002,2026-08-06T00:00,18.6,91,3.3,4,15,-78
R-1002,2026-08-06T01:00,13.9,101,1.5,2,16,-66
R-1002,2026-08-06T02:00,11.1,95,3.6,3,5,-70
R-1002,2026-08-06T03:00,19.4,70,1.7,4,20,-70
R-1002,2026-08-06T04:00,17.1,120,2.9,4,19,-66
R-1002,2026-08-06T05:00,8.2,97,1.7,2,14,-68
R-1002,2026-08-06T06:00,15.0,120,2.7,3,18,-67
R-1002,2026-08-06T07:00,14.6,105,3.1,3,14,-74
R-1002,2026-08-06T08:00,10.8,84,1.9,2,11,-75
R-1002,2026-08-06T09:00,16.9,95,3.2,3,8,-65
R-1002,2026-08-06T10:00,10.3,89,2.1,3,5,-67
R-1002,2026-08-06T11:00,14.4,95,1.1,1,14,-67
R-1002,2026-08-06T12:00,19.3,122,1.3,1,14,-71
R-1002,2026-08-06T13:00,13.7,103,1.6,1,13,-65
R-1002,2026-08-06T14:00,13.7,68,2.2,1,6,-76
R-1002,2026-08-06T15:00,9.8,132,3.8,1,12,-77
R-1002,2026-08-06T16:00,14.7,113,2.8,2,17,-71
R-1002,2026-08-06T17:00,18.9,98,3.6,4,14,-69
R-1002,2026-08-06T18:00,4.5,228,8.8,6,36,-75
R-1002,2026-08-06T19:00,2.8,234,4.4,8,35,-77
R-1002,2026-08-06T20:00,2.3,150,6.0,12,39,-85
R-1002,2026-08-06T21:00,2.9,240,5.4,12,32,-75
R-1002,2026-08-06T22:00,2.9,183,7.9,8,43,-84
R-1002,2026-08-06T23:00,4.2,232,4.7,9,34,-84
R-1003,2026-08-06T00:00,28.3,29,0.6,1,16,-59
R-1003,2026-08-06T01:00,50.8,29,0.7,1,18,-45
R-1003,2026-08-06T02:00,52.2,15,0.6,1,12,-43
R-1003,2026-08-06T03:00,38.8,15,0.2,0,10,-44
R-1003,2026-08-06T04:00,27.2,21,0.5,1,10,-57
R-1003,2026-08-06T05:00,79.8,37,0.6,1,4,-47
R-1003,2026-08-06T06:00,44.1,31,0.3,0,7,-52
R-1003,2026-08-06T07:00,47.6,41,0.3,1,3,-48
R-1003,2026-08-06T08:00,29.8,26,0.3,1,18,-62
R-1003,2026-08-06T09:00,61.2,44,0.5,0,8,-46
R-1003,2026-08-06T10:00,44.9,41,0.6,0,8,-54
R-1003,2026-08-06T11:00,55.2,28,0.4,1,5,-62
R-1003,2026-08-06T12:00,78.5,25,0.7,1,2,-45
R-1003,2026-08-06T13:00,47.4,24,1.0,0,16,-59
R-1003,2026-08-06T14:00,60.6,19,0.5,1,18,-40
R-1003,2026-08-06T15:00,40.0,40,1.0,0,16,-45
R-1003,2026-08-06T16:00,33.0,22,0.9,0,4,-54
R-1003,2026-08-06T17:00,67.5,36,0.3,1,2,-53
R-1003,2026-08-06T18:00,64.9,41,0.9,1,17,-51
R-1003,2026-08-06T19:00,43.3,44,0.4,1,8,-40
R-1003,2026-08-06T20:00,38.1,34,0.2,1,3,-52
R-1003,2026-08-06T21:00,66.0,34,0.4,0,17,-61
R-1003,2026-08-06T22:00,31.9,31,0.9,1,5,-46
R-1003,2026-08-06T23:00,75.1,10,0.7,1,6,-60
R-1004,2026-08-06T00:00,50.8,26,0.3,1,4,-52
R-1004,2026-08-06T01:00,71.9,44,0.4,1,17,-45
R-1004,2026-08-06T02:00,27.0,14,0.2,1,9,-60
R-1004,2026-08-06T03:00,48.9,16,0.8,0,16,-57
R-1004,2026-08-06T04:00,63.2,11,0.0,0,11,-51
R-1004,2026-08-06T05:00,45.6,19,0.2,1,7,-57
R-1004,2026-08-06T06:00,34.6,34,0.6,0,17,-44
R-1004,2026-08-06T07:00,32.9,39,0.6,1,10,-41
R-1004,2026-08-06T08:00,25.5,39,0.9,0,4,-48
R-1004,2026-08-06T09:00,77.0,29,0.6,1,10,-48
R-1004,2026-08-06T10:00,71.5,22,1.0,1,5,-55
R-1004,2026-08-06T11:00,46.0,32,0.6,1,2,-41
R-1004,2026-08-06T12:00,46.8,10,0.6,0,17,-53
R-1004,2026-08-06T13:00,67.7,24,0.6,1,9,-42
R-1004,2026-08-06T14:00,35.5,26,0.7,0,5,-42
R-1004,2026-08-06T15:00,60.5,29,0.8,0,13,-58
R-1004,2026-08-06T16:00,30.0,28,0.3,1,7,-56
R-1004,2026-08-06T17:00,32.3,44,0.9,1,18,-46
R-1004,2026-08-06T18:00,75.2,20,0.3,1,11,-52
R-1004,2026-08-06T19:00,69.2,39,1.0,0,9,-41
R-1004,2026-08-06T20:00,64.8,35,1.0,1,4,-50
R-1004,2026-08-06T21:00,25.8,44,0.1,1,10,-44
R-1004,2026-08-06T22:00,46.0,33,0.1,0,17,-62
R-1004,2026-08-06T23:00,59.1,45,0.3,0,4,-42
R-1005,2026-08-06T00:00,70.3,29,0.6,0,6,-61
R-1005,2026-08-06T01:00,77.0,29,1.0,0,5,-55
R-1005,2026-08-06T02:00,73.8,18,0.4,1,15,-44
R-1005,2026-08-06T03:00,65.8,19,0.9,0,17,-43
R-1005,2026-08-06T04:00,47.4,27,0.0,1,8,-48
R-1005,2026-08-06T05:00,49.5,25,0.9,0,13,-45
R-1005,2026-08-06T06:00,74.6,32,0.1,1,8,-59
R-1005,2026-08-06T07:00,77.2,39,0.1,0,2,-61
R-1005,2026-08-06T08:00,68.3,25,1.0,0,4,-45
R-1005,2026-08-06T09:00,36.4,23,0.8,0,12,-58
R-1005,2026-08-06T10:00,68.4,10,0.3,0,6,-45
R-1005,2026-08-06T11:00,38.8,21,0.1,0,6,-62
