router_id,model,firmware_version,building,room,user_type,issue_date
R-1000,TL-841N,v3.0,Lab-Complex,241,student,2024-08-16
R-1001,AC-1200,v5.1,Lab-Complex,380,student,2025-03-08
R-1002,TL-841N,v3.0,Hostel-A,148,student,2024-08-26
R-1003,TL-841N,v3.0,Lab-Complex,380,staff,2024-08-13
R-1004,NX-500,v2.0,Hostel-A,182,staff,2024-12-14
R-1005,DIR-615,v2.8,Hostel-B,273,student,2024-04-04
R-1006,NX-500,v1.9,Main-Block,277,staff,2024-02-14
R-1007,NX-500,v1.9,Library,141,staff,2025-01-05
R-1008,AC-1200,v5.1,Hostel-A,217,staff,2024-03-22
R-1009,AC-1200,v5.1,Library,243,staff,2025-01-08
R-1010,AC-1200,v5.1,Main-Block,282,student,2024-09-30
R-1011,TL-841N,v3.0,Staff-Qtrs,226,student,2025-04-18
R-1012,NX-500,v2.0,Lab-Complex,386,student,2024-11-28
R-1013,TL-841N,v3.0,Hostel-A,262,staff,2024-10-01
R-1014,TL-841N,v3.0,Staff-Qtrs,262,student,2025-05-26
R-1015,NX-500,v2.0,Hostel-B,236,student,2024-09-09
R-1016,DIR-615,v3.1,Staff-Qtrs,305,staff,2024-08-12
R-1017,AC-1200,v5.4,Hostel-A,125,student,2024-06-05
R-1018,AC-1200,v5.1,Lab-Complex,317,student,2025-01-29
R-1019,NX-500,v2.0,Staff-Qtrs,229,student,2024-04-27
R-1020,DIR-615,v3.1,Hostel-A,251,staff,2024-06-10
R-1021,NX-500,v1.9,Lab-Complex,235,student,2025-06-03
R-1022,TL-841N,v3.2,Lab-Complex,360,student,2024-06-05
R-1023,DIR-615,v2.8,Staff-Qtrs,372,student,2024-11-27
R-1024,NX-500,v1.9,Hostel-A,286,staff,2024-09-02
R-1025,TL-841N,v3.0,Staff-Qtrs,141,student,2025-05-12
R-1026,TL-841N,v3.0,Staff-Qtrs,165,student,2025-05-01
R-1027,AC-1200,v5.4,Staff-Qtrs,411,staff,2024-08-04
R-1028,AC-1200,v5.4,Library,292,staff,2025-06-13
R-1029,NX-500,v1.9,Hostel-B,216,student,2024-12-12
R-1030,TL-841N,v3.0,Staff-Qtrs,213,student,2024-03-13
R-1031,TL-841N,v3.0,Hostel-A,117,staff,2024-03-13
R-1032,AC-1200,v5.4,Lab-Complex,349,student,2025-07-06
R-1033,AC-1200,v5.4,Hostel-B,343,staff,2024-07-13
R-1034,TL-841N,v3.0,Hostel-A,321,staff,2025-03-09
R-1035,NX-500,v2.0,Lab-Complex,128,student,2024-03-03
R-1036,NX-500,v2.0,Hostel-A,228,student,2024-07-13
R-1037,NX-500,v1.9,Library,194,staff,2025-04-18
R-1038,AC-1200,v5.1,Library,382,student,2024-02-21
R-1039,TL-841N,v3.0,Hostel-B,186,staff,2025-05-12
R-1040,NX-500,v1.9,Library,131,student,2025-01-23
R-1041,TL-841N,v3.2,Main-Block,333,staff,2025-03-09
R-1042,NX-500,v1.9,Hostel-B,198,staff,2024-08-10
R-1043,TL-841N,v3.0,Lab-Complex,261,student,2024-02-21
R-1044,NX-500,v1.9,Hostel-A,361,student,2024-07-09
R-1045,TL-841N,v3.0,Lab-Complex,221,staff,2024-05-02
R-1046,AC-1200,v5.1,Staff-Qtrs,142,staff,2025-08-20
R-1047,DIR-615,v3.1,Hostel-B,261,student,2024-09-28
R-1048,NX-500,v1.9,Lab-Complex,254,staff,2024-11-19
R-1049,TL-841N,v3.0,Library,419,student,2024-03-16
R-1050,AC-1200,v5.1,Staff-Qtrs,236,student,2024-12-23
R-1051,TL-841N,v3.0,Main-Block,246,student,2025-03-24
R-1052,DIR-615,v2.8,Lab-Complex,384,staff,2024-04-16
R-1053,AC-1200,v5.4,Hostel-A,155,student,2024-10-05
R-1054,DIR-615,v2.8,Lab-Complex,276,student,2024-09-27
R-1055,NX-500,v2.0,Hostel-A,148,staff,2024-10-10
R-1056,TL-841N,v3.0,Main-Block,167,staff,2024-06-14
R-1057,NX-500,v2.0,Staff-Qtrs,105,student,2024-03-18
R-1058,AC-1200,v5.1,Staff-Qtrs,119,staff,2025-08-19
R-1059,AC-1200,v5.4,Hostel-B,122,staff,2025-01-08
